#Date;TrdTime;Contract;ContractType;TrdTyp;Currency;TesId;Prc;Qty;TrdInd;Aggressor;Buy;Sell;Exch;InstrumentId;RelatedProdId;PrcDecomp
02.05.2025;10:36:04.080;A2XA SI 20250919 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;35;2.15000000;308;EXCHANGE_LAST;;1;1;XEUR;11347325;17;
02.05.2025;10:41:12.205;A2XA SI 20250919 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;38;2.15000000;660;EXCHANGE_LAST;;1;1;XEUR;11347325;17;
02.05.2025;11:30:08.218;A2XA SI 20250919 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;56;2.15000000;440;EXCHANGE_LAST;;1;1;XEUR;11347325;17;
02.05.2025;15:09:47.415;ABBG SI 20250620 CS;SIMPLE_INSTRUMENT;BLOCK;CHF;89;45.28980000;6650;EXCHANGE_LAST;;1;1;XEUR;11209548;574520;
02.05.2025;08:46:39.948;ABBN SI 20250516 PS AM C 44.50 0;SIMPLE_INSTRUMENT;BLOCK;CHF;11;0.84000000;2000;EXCHANGE_LAST;;1;1;XEUR;12854215;574517;
02.05.2025;08:49:38.702;ABBN FI 20250528 CS EU C 46.8000 0;FLEXIBLE_INSTRUMENT;BLOCK;CHF;13;0.37000000;1580;EXCHANGE_LAST;;1;1;XEUR;1155389036332854043;574517;
02.05.2025;08:59:10.575;ABBN.O.250502.BRT.000001;STANDARD_OPTION_STRATEGY;BLOCK;CHF;18;1.89000000;1250;EXCHANGE_LAST;;1;1;XEUR;74525125763938048;574517;
02.05.2025;08:59:10.575;ABBN SI 20251219 PS AM P 42.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;18;2.68000000;1250;PRC_DECOMP_MEMBER;;;;XEUR;11648494;574517;MEMBER
02.05.2025;08:59:10.575;ABBN SI 20250620 PS AM P 42.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;18;0.79000000;1250;PRC_DECOMP_MEMBER;;;;XEUR;11409731;574517;MEMBER
02.05.2025;09:17:21.863;AIR.O.250502.STD.000003;STANDARD_OPTION_STRATEGY;BLOCK;EUR;13;35.50000000;300;EXCHANGE_LAST;;1;1;XEUR;72057868915849914;64;
02.05.2025;09:17:21.863;AIR SI 20261218 PS AM C 180.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;13;19.73000000;300;PRC_DECOMP_EXCHANGE;;;;XEUR;11290371;64;EXCHANGE
02.05.2025;09:17:21.863;AIR SI 20261218 PS AM P 180.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;13;15.77000000;300;PRC_DECOMP_EXCHANGE;;;;XEUR;11290372;64;EXCHANGE
02.05.2025;14:53:48.960;AKU SI 20250516 PS AM C 58.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;28;1.05000000;300;EXCHANGE_LAST;;1;1;XEUR;12812607;78;
02.05.2025;09:20:59.385;ALC FI 20250528 CS EU C 84.2500 0;FLEXIBLE_INSTRUMENT;BLOCK;CHF;21;1.01000000;1000;EXCHANGE_LAST;;1;1;XEUR;1153480425880956663;130134;
02.05.2025;15:06:10.889;ALV SI 20261218 PS AM P 160.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;4;2.65000000;600;EXCHANGE_LAST;;1;2;XEUR;7152565;74;
02.05.2025;09:54:04.754;ANN.O.250502.STD.000007;STANDARD_OPTION_STRATEGY;BLOCK;EUR;6;2.20000000;1000;EXCHANGE_LAST;;1;1;XEUR;72251735149670380;45202;
02.05.2025;09:54:04.754;ANN SI 20250516 PS AM C 28.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;6;1.86000000;1000;PRC_DECOMP_EXCHANGE;;;;XEUR;12838441;45202;EXCHANGE
02.05.2025;09:54:04.754;ANN SI 20250516 PS AM P 28.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;6;0.34000000;1000;PRC_DECOMP_EXCHANGE;;;;XEUR;12838443;45202;EXCHANGE
02.05.2025;11:36:31.923;ASIF SI 20250919 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;58;442.48020000;15;EXCHANGE_LAST;;1;1;XEUR;11724528;46864;
02.05.2025;14:21:39.586;ASIF SI 20250516 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;79;442.01000000;250;EXCHANGE_LAST;;1;1;XEUR;11055665;46864;
02.05.2025;09:10:25.020;ASM SI 20250620 PS AM C 650.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;5;12.80000000;150;EXCHANGE_LAST;;1;1;XEUR;12996052;107;
02.05.2025;09:10:41.798;ASM SI 20250620 PS AM C 690.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;6;5.15000000;150;EXCHANGE_LAST;;1;1;XEUR;12996046;107;
02.05.2025;10:08:33.468;ASM SI 20251219 PS AM P 560.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;9;51.00000000;150;EXCHANGE_LAST;;1;1;XEUR;5921400;107;
02.05.2025;13:07:21.344;AXA SI 20250919 PS AM C 38.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;38;4.45000000;6000;EXCHANGE_LAST;;1;1;XEUR;11872537;127;
02.05.2025;07:55:25.302;AXAG SI 20250620 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;1;40.40000000;5000;EXCHANGE_LAST;;1;1;XEUR;11168731;125;
02.05.2025;10:34:36.613;AXAG SI 20250919 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;33;40.53000000;3500;EXCHANGE_LAST;;1;1;XEUR;11699127;125;
02.05.2025;10:41:29.517;AXAG SI 20250919 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;39;40.53000000;7500;EXCHANGE_LAST;;1;1;XEUR;11699127;125;
02.05.2025;11:30:21.961;AXAG SI 20250919 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;57;40.58000000;5000;EXCHANGE_LAST;;1;1;XEUR;11699127;125;
02.05.2025;13:37:54.310;AXAG SI 20250620 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;72;40.50000000;1600;EXCHANGE_LAST;;1;1;XEUR;11168731;125;
02.05.2025;10:43:18.109;B2AS SI 20250620 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;43;2.25000000;215;EXCHANGE_LAST;;1;1;XEUR;10830335;140;
02.05.2025;13:29:53.938;B2AS SI 20250620 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;71;2.25000000;113;EXCHANGE_LAST;;1;1;XEUR;10830335;140;
02.05.2025;12:46:16.475;B2MW SI 20261218 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;64;2.92000000;50;EXCHANGE_LAST;;1;1;XEUR;4632168;128;
02.05.2025;11:22:14.914;B2NP SI 20251219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;53;7.28000000;200;EXCHANGE_LAST;;2;1;XEUR;5914355;131;
02.05.2025;14:05:26.218;BAEN FI 20250528 CS EU C 58.0500 0;FLEXIBLE_INSTRUMENT;BLOCK;CHF;50;0.76000000;530;EXCHANGE_LAST;;1;1;XEUR;1152922187506660068;159;
02.05.2025;07:41:20.797;BAS SI 20250516 PS AM C 46.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;1;0.16000000;2595;EXCHANGE_LAST;;1;1;XEUR;12813680;150;
02.05.2025;07:41:22.675;BAS SI 20250516 PS AM C 46.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;2;0.15000000;2596;EXCHANGE_LAST;;1;1;XEUR;12813680;150;
02.05.2025;09:22:16.372;BAS SI 20250620 PS AM C 44.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;5;1.15000000;1000;EXCHANGE_LAST;;2;1;XEUR;7899118;150;
02.05.2025;09:53:34.478;BAS SI 20251219 PS AM C 40.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;6;5.40000000;2000;EXCHANGE_LAST;;1;1;XEUR;7115423;150;
02.05.2025;10:41:03.399;BAS.O.250502.STD.000030;STANDARD_OPTION_STRATEGY;BLOCK;EUR;8;8.10000000;2000;EXCHANGE_LAST;;2;2;XEUR;72058238283093285;150;
02.05.2025;10:41:03.399;BAS SI 20251219 PS AM P 44.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;8;4.65000000;2000;PRC_DECOMP_EXCHANGE;;;;XEUR;5951457;150;EXCHANGE
02.05.2025;10:41:03.399;BAS SI 20251219 PS AM C 44.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;8;3.45000000;2000;PRC_DECOMP_EXCHANGE;;;;XEUR;5951456;150;EXCHANGE
02.05.2025;12:01:11.997;BAS SI 20261218 PS AM P 40.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;17;4.80000000;1500;EXCHANGE_LAST;;2;1;XEUR;7467515;150;
02.05.2025;10:43:12.677;BASG SI 20250620 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;42;42.05000000;2500;EXCHANGE_LAST;;1;1;XEUR;11169531;171;
02.05.2025;13:28:15.789;BASG SI 20250620 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;70;42.04000000;1300;EXCHANGE_LAST;;1;1;XEUR;11169531;171;
02.05.2025;08:02:39.833;BAY SI 20251219 PS AM C 26.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;3;2.48000000;6500;EXCHANGE_LAST;;1;4;XEUR;11594950;168;
02.05.2025;11:14:04.277;BAY SI 20260619 PS AM P 24.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;9;3.83000000;1000;EXCHANGE_LAST;;1;1;XEUR;9539699;168;
02.05.2025;11:18:41.723;BAY SI 20251219 PS AM C 29.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;10;1.87000000;2000;EXCHANGE_LAST;;1;1;XEUR;12164775;168;
02.05.2025;11:51:28.214;BAY.O.250502.BU23.000049;STANDARD_OPTION_STRATEGY;BLOCK;EUR;14;-0.38000000;2000;EXCHANGE_LAST;;1;2;XEUR;72058315592510148;168;
02.05.2025;11:51:28.214;BAY SI 20250620 PS AM C 27.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;14;0.84000000;6000;PRC_DECOMP_EXCHANGE;;;;XEUR;11992379;168;EXCHANGE
02.05.2025;11:51:28.214;BAY SI 20250620 PS AM C 25.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;14;1.45000000;4000;PRC_DECOMP_EXCHANGE;;;;XEUR;11992382;168;EXCHANGE
02.05.2025;11:59:23.435;BAY SI 20250919 PS AM P 25.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;16;3.12000000;23000;EXCHANGE_LAST;;2;5;XEUR;11992372;168;
02.05.2025;12:17:21.215;BAY SI 20260320 PS AM P 22.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;20;2.61000000;1000;EXCHANGE_LAST;;1;1;XEUR;12997325;168;
02.05.2025;12:46:35.261;BAY.O.250502.BLT.000050;STANDARD_OPTION_STRATEGY;BLOCK;EUR;24;1.00000000;17000;EXCHANGE_LAST;;2;3;XEUR;72058315592510149;168;
02.05.2025;12:46:35.261;BAY SI 20250919 PS AM C 27.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;24;1.83000000;17000;PRC_DECOMP_EXCHANGE;;;;XEUR;11992373;168;EXCHANGE
02.05.2025;12:46:35.261;BAY SI 20250620 PS AM C 27.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;24;0.83000000;17000;PRC_DECOMP_EXCHANGE;;;;XEUR;11992379;168;EXCHANGE
02.05.2025;12:39:54.228;BAY SI 20251219 PS AM C 32.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;25;1.22000000;20000;EXCHANGE_LAST;;4;2;XEUR;6068399;168;
02.05.2025;13:02:29.816;BAY SI 20250919 PS AM P 25.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;27;3.12000000;7000;EXCHANGE_LAST;;1;2;XEUR;11992372;168;
02.05.2025;13:17:28.659;BAY SI 20250919 PS AM P 25.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;29;3.12000000;2000;EXCHANGE_LAST;;1;1;XEUR;11992372;168;
02.05.2025;13:20:35.421;BAY.O.250502.BER.000021;STANDARD_OPTION_STRATEGY;BLOCK;EUR;31;1.48000000;2000;EXCHANGE_LAST;;1;1;XEUR;72058315592510120;168;
02.05.2025;13:20:35.421;BAY SI 20250919 PS AM P 24.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;31;2.47000000;2000;PRC_DECOMP_EXCHANGE;;;;XEUR;11873099;168;EXCHANGE
02.05.2025;13:20:35.421;BAY SI 20250919 PS AM P 20.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;31;0.99000000;2000;PRC_DECOMP_EXCHANGE;;;;XEUR;11873110;168;EXCHANGE
