#Date;TrdTime;Contract;ContractType;TrdTyp;Currency;TesId;Prc;Qty;TrdInd;Aggressor;Buy;Sell;Exch;InstrumentId;RelatedProdId;PrcDecomp
07.03.2025;10:43:32.561;2FE SI 20250320 PS AM P 395.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;6;3.60000000;300;EXCHANGE_LAST;;1;1;XEUR;12808291;57129;
07.03.2025;15:39:48.616;A3NN SI 20261218 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;73;1.00000000;600;EXCHANGE_LAST;;3;2;XEUR;7365502;464375;
07.03.2025;09:54:09.224;ADEN SI 20250620 PS AM P 22.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;20;0.50000000;2000;EXCHANGE_LAST;;1;1;XEUR;11347907;44;
07.03.2025;14:55:51.102;ADS SI 20250919 PS AM P 180.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;22;3.60000000;500;EXCHANGE_LAST;;1;1;XEUR;11870810;50;
07.03.2025;15:04:04.267;ADS.O.250307.STD.000008;STANDARD_OPTION_STRATEGY;BLOCK;EUR;24;50.25000000;300;EXCHANGE_LAST;;1;1;XEUR;72057808786332594;50;
07.03.2025;15:04:04.267;ADS SI 20251219 PS AM P 240.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;24;26.02000000;300;PRC_DECOMP_EXCHANGE;;;;XEUR;5919900;50;EXCHANGE
07.03.2025;15:04:04.267;ADS SI 20251219 PS AM C 240.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;24;24.23000000;300;PRC_DECOMP_EXCHANGE;;;;XEUR;5919899;50;EXCHANGE
07.03.2025;09:56:49.100;ALV.O.250307.PBUT.000006;STANDARD_OPTION_STRATEGY;BLOCK;EUR;1;2.50000000;500;EXCHANGE_LAST;;1;1;XEUR;72057911865569622;74;
07.03.2025;09:56:49.100;ALV SI 20250516 PS AM P 300.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;1;3.27000000;1000;PRC_DECOMP_EXCHANGE;;;;XEUR;12812788;74;EXCHANGE
07.03.2025;09:56:49.100;ALV SI 20250516 PS AM P 280.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;1;1.90000000;500;PRC_DECOMP_EXCHANGE;;;;XEUR;12812813;74;EXCHANGE
07.03.2025;09:56:49.100;ALV SI 20250516 PS AM P 320.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;1;7.14000000;500;PRC_DECOMP_EXCHANGE;;;;XEUR;12812767;74;EXCHANGE
07.03.2025;10:33:11.235;ALV SI 20250620 PS AM P 300.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;2;4.90000000;500;EXCHANGE_LAST;;1;1;XEUR;11349304;74;
07.03.2025;10:45:45.153;ALV SI 20250620 PS AM C 340.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;5;14.15000000;350;EXCHANGE_LAST;;1;1;XEUR;11349413;74;
07.03.2025;11:16:54.249;ALV SI 20251219 PS AM P 260.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;6;4.55000000;2900;EXCHANGE_LAST;;1;1;XEUR;10976920;74;
