#Date;TrdTime;Contract;ContractType;TrdTyp;Currency;TesId;Prc;Qty;TrdInd;Aggressor;Buy;Sell;Exch;InstrumentId;RelatedProdId;PrcDecomp
21.01.2025;13:01:15.493;A2LV SI 20261218 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;63;15.50000000;25;EXCHANGE_LAST;;1;1;XEUR;4632085;12;
21.01.2025;11:13:38.291;A2SG SI 20251219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;35;1.47500000;200;EXCHANGE_LAST;;1;1;XEUR;5914262;14;
21.01.2025;10:33:52.305;A2XA SI 20251219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;18;2.16500000;200;EXCHANGE_LAST;;1;2;XEUR;3681055;17;
21.01.2025;12:40:00.244;A2XA SI 20281215 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;55;1.90000000;750;EXCHANGE_LAST;;1;1;XEUR;6796967;17;
21.01.2025;12:55:41.353;A2XA SI 20261218 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;58;2.17500000;200;EXCHANGE_LAST;;1;1;XEUR;4632093;17;
21.01.2025;16:35:16.630;AAPH SI 20250417 CS;SIMPLE_INSTRUMENT;BLOCK;USD;113;222.05000000;120;EXCHANGE_LAST;;1;1;XEUR;10878754;324383;
21.01.2025;10:04:23.493;ABBN SI 20250620 PS AM P 54.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;6;5.21000000;2500;EXCHANGE_LAST;;1;1;XEUR;11848986;574517;
21.01.2025;16:13:41.008;ADEN SI 20251219 PS AM C 22.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;60;1.75000000;750;EXCHANGE_LAST;;1;1;XEUR;12430560;44;
21.01.2025;16:15:52.649;ADEN SI 20251219 PS AM C 22.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;61;1.75000000;750;EXCHANGE_LAST;;1;1;XEUR;12430560;44;
21.01.2025;16:36:19.396;ADEN SI 20251219 PS AM C 22.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;65;1.75000000;1000;EXCHANGE_LAST;;1;1;XEUR;12430560;44;
21.01.2025;15:58:57.795;AFR SI 20250620 PS AM P 6.40 0;SIMPLE_INSTRUMENT;BLOCK;EUR;30;0.35000000;2500;EXCHANGE_LAST;;1;1;XEUR;9872566;58;
21.01.2025;15:59:05.051;AFR SI 20250620 PS AM P 6.40 0;SIMPLE_INSTRUMENT;BLOCK;EUR;31;0.36000000;2500;EXCHANGE_LAST;;1;1;XEUR;9872566;58;
21.01.2025;14:33:13.987;ALV SI 20251219 PS AM P 280.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;6;12.75000000;600;EXCHANGE_LAST;;2;1;XEUR;5920784;74;
21.01.2025;09:03:17.690;ASG5 SI 20250619 PS AM P 24.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;1;0.38000000;1500;EXCHANGE_LAST;;1;1;XEUR;7889072;109;
21.01.2025;11:40:15.940;AXA SI 20250221 PS AM P 34.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;7;0.33000000;2000;EXCHANGE_LAST;;1;1;XEUR;12238906;127;
21.01.2025;08:58:05.688;B2MW SI 20251219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;4;4.50000000;200;EXCHANGE_LAST;;1;2;XEUR;3681121;128;
21.01.2025;15:22:19.741;B2MW SI 20261218 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;97;4.14000000;180;EXCHANGE_LAST;;1;3;XEUR;4632168;128;
21.01.2025;16:33:29.133;B2MW SI 20251219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;115;4.50000000;300;EXCHANGE_LAST;;1;1;XEUR;3681121;128;
21.01.2025;16:47:44.298;B2MW SI 20251219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;116;4.50000000;350;EXCHANGE_LAST;;1;2;XEUR;3681121;128;
21.01.2025;09:59:58.838;B2NP SI 20251219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;9;5.37000000;200;EXCHANGE_LAST;;1;2;XEUR;5914355;131;
