#Date;TrdTime;Contract;ContractType;TrdTyp;Currency;TesId;Prc;Qty;TrdInd;Aggressor;Buy;Sell;Exch;InstrumentId;RelatedProdId;PrcDecomp
23.12.2024;15:24:04.028;1COV SI 20251219 PS AM P 52.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;1;2.80000000;350;EXCHANGE_LAST;;1;1;XEUR;5919358;48055;
23.12.2024;11:47:20.638;A2SI SI 20251219 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;17;2.62000000;20;EXCHANGE_LAST;;1;1;XEUR;6307888;360353;
23.12.2024;11:47:29.788;A2SI SI 20261218 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;18;2.55000000;20;EXCHANGE_LAST;;1;1;XEUR;6829677;360353;
23.12.2024;10:27:34.100;ABBN SI 20251219 PS AM P 47.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;11;3.62000000;1250;EXCHANGE_LAST;;1;1;XEUR;11848990;574517;
23.12.2024;13:06:33.310;ALC.O.241223.STG.000004;STANDARD_OPTION_STRATEGY;BLOCK;CHF;18;12.30000000;700;EXCHANGE_LAST;;1;2;XEUR;72616515312039879;130134;
23.12.2024;13:06:33.310;ALC SI 20261218 PS AM P 68.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;18;6.07000000;700;PRC_DECOMP_EXCHANGE;;;;XEUR;7181826;130134;EXCHANGE
23.12.2024;13:06:33.310;ALC SI 20261218 PS AM C 84.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;18;6.23000000;700;PRC_DECOMP_EXCHANGE;;;;XEUR;7181804;130134;EXCHANGE
23.12.2024;13:34:09.469;ASI SI 20250321 PS AM C 700.00 0;SIMPLE_INSTRUMENT;BLOCK;EUR;4;10.78000000;223;EXCHANGE_LAST;;1;1;XEUR;12475790;76318;
23.12.2024;10:33:11.992;B2NP SI 20261218 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;10;4.40000000;777;EXCHANGE_LAST;;1;1;XEUR;6798320;131;
23.12.2024;15:24:41.556;B2NP SI 20271217 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;39;3.80000000;526;EXCHANGE_LAST;;1;1;XEUR;7086925;131;
23.12.2024;08:37:24.241;BAN SI 20250620 PS AM P 52.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;1;2.78000000;500;EXCHANGE_LAST;;1;1;XEUR;9591553;298535;
23.12.2024;15:56:38.213;BAN SI 20250117 PS AM C 61.00 0;SIMPLE_INSTRUMENT;BLOCK;CHF;32;0.86000000;500;EXCHANGE_LAST;;1;1;XEUR;12484287;298535;
23.12.2024;15:35:33.157;BOSF SI 20250417 CS;SIMPLE_INSTRUMENT;BLOCK;EUR;42;44.45380000;200;EXCHANGE_LAST;;1;1;XEUR;10832425;231;
23.12.2024;10:05:39.312;BPV FI 20251218 PS AM P 7.9000 0;FLEXIBLE_INSTRUMENT;BLOCK;EUR;1;1.21000000;10000;EXCHANGE_LAST;;1;1;XEUR;1152922582643638279;251;
